"table","section","group_label","characteristic","gender","metric","value"
"Table 1a","Estimate ('000)","Age group","45–54 years","Persons","Total",3264.8
"Table 1a","Estimate ('000)","Age group","55–64 years","Males","Used SPF30 or higher sunscreen on most days",371.7
"Table 1a","Estimate ('000)","Age group","55–64 years","Males","Did not use SPF30 or higher sunscreen on most days",1097.4
"Table 1a","Estimate ('000)","Age group","55–64 years","Males","Total",1479.8
"Table 1a","Estimate ('000)","Age group","55–64 years","Females","Used SPF30 or higher sunscreen on most days",707.3
"Table 1a","Estimate ('000)","Age group","55–64 years","Females","Did not use SPF30 or higher sunscreen on most days",829.3
"Table 1a","Estimate ('000)","Age group","55–64 years","Females","Total",1544.8
"Table 1a","Estimate ('000)","Age group","55–64 years","Persons","Used SPF30 or higher sunscreen on most days",1083.7
"Table 1a","Estimate ('000)","Age group","55–64 years","Persons","Did not use SPF30 or higher sunscreen on most days",1928.8
"Table 1a","Estimate ('000)","Age group","55–64 years","Persons","Total",3020.2
"Table 1a","Estimate ('000)","Age group","65 years and over","Males","Used SPF30 or higher sunscreen on most days",437.8
"Table 1a","Estimate ('000)","Age group","65 years and over","Males","Did not use SPF30 or higher sunscreen on most days",1608.5
"Table 1a","Estimate ('000)","Age group","65 years and over","Males","Total",2068.2
"Table 1a","Estimate ('000)","Age group","65 years and over","Females","Used SPF30 or higher sunscreen on most days",759.1
"Table 1a","Estimate ('000)","Age group","65 years and over","Females","Did not use SPF30 or higher sunscreen on most days",1554.7
"Table 1a","Estimate ('000)","Age group","65 years and over","Females","Total",2319
"Table 1a","Estimate ('000)","Age group","65 years and over","Persons","Used SPF30 or higher sunscreen on most days",1205.4
"Table 1a","Estimate ('000)","Age group","65 years and over","Persons","Did not use SPF30 or higher sunscreen on most days",3163.8
"Table 1a","Estimate ('000)","Age group","65 years and over","Persons","Total",4394.4
"Table 1a","Estimate ('000)","State or territory of usual residence","New South Wales","Males","Used SPF30 or higher sunscreen on most days",854.4
"Table 1a","Estimate ('000)","State or territory of usual residence","New South Wales","Males","Did not use SPF30 or higher sunscreen on most days",2496
"Table 1a","Estimate ('000)","State or territory of usual residence","New South Wales","Males","Total",3366.5
"Table 1a","Estimate ('000)","State or territory of usual residence","New South Wales","Females","Used SPF30 or higher sunscreen on most days",1717.7
"Table 1a","Estimate ('000)","State or territory of usual residence","New South Wales","Females","Did not use SPF30 or higher sunscreen on most days",1701.5
"Table 1a","Estimate ('000)","State or territory of usual residence","New South Wales","Females","Total",3456.6
"Table 1a","Estimate ('000)","State or territory of usual residence","New South Wales","Persons","Used SPF30 or higher sunscreen on most days",2597.4
"Table 1a","Estimate ('000)","State or territory of usual residence","New South Wales","Persons","Did not use SPF30 or higher sunscreen on most days",4178.7
"Table 1a","Estimate ('000)","State or territory of usual residence","New South Wales","Persons","Total",6794.5
"Table 1a","Estimate ('000)","State or territory of usual residence","Victoria","Males","Used SPF30 or higher sunscreen on most days",750.5
"Table 1a","Estimate ('000)","State or territory of usual residence","Victoria","Males","Did not use SPF30 or higher sunscreen on most days",1970.8
"Table 1a","Estimate ('000)","State or territory of usual residence","Victoria","Males","Total",2734.2
"Table 1a","Estimate ('000)","State or territory of usual residence","Victoria","Females","Used SPF30 or higher sunscreen on most days",1460.2
"Table 1a","Estimate ('000)","State or territory of usual residence","Victoria","Females","Did not use SPF30 or higher sunscreen on most days",1355.6
"Table 1a","Estimate ('000)","State or territory of usual residence","Victoria","Females","Total",2841.4
"Table 1a","Estimate ('000)","State or territory of usual residence","Victoria","Persons","Used SPF30 or higher sunscreen on most days",2218.9
"Table 1a","Estimate ('000)","State or territory of usual residence","Victoria","Persons","Did not use SPF30 or higher sunscreen on most days",3339.4
"Table 1a","Estimate ('000)","State or territory of usual residence","Victoria","Persons","Total",5586.5
"Table 1a","Estimate ('000)","State or territory of usual residence","Queensland","Males","Used SPF30 or higher sunscreen on most days",563.8
"Table 1a","Estimate ('000)","State or territory of usual residence","Queensland","Males","Did not use SPF30 or higher sunscreen on most days",1605.5
"Table 1a","Estimate ('000)","State or territory of usual residence","Queensland","Males","Total",2145.4
"Table 1a","Estimate ('000)","State or territory of usual residence","Queensland","Females","Used SPF30 or higher sunscreen on most days",1011.5
"Table 1a","Estimate ('000)","State or territory of usual residence","Queensland","Females","Did not use SPF30 or higher sunscreen on most days",1241.8
"Table 1a","Estimate ('000)","State or territory of usual residence","Queensland","Females","Total",2249.7
"Table 1a","Estimate ('000)","State or territory of usual residence","Queensland","Persons","Used SPF30 or higher sunscreen on most days",1558.3
"Table 1a","Estimate ('000)","State or territory of usual residence","Queensland","Persons","Did not use SPF30 or higher sunscreen on most days",2831.1
"Table 1a","Estimate ('000)","State or territory of usual residence","Queensland","Persons","Total",4408.6
"Table 1a","Estimate ('000)","State or territory of usual residence","South Australia","Males","Used SPF30 or higher sunscreen on most days",199.3
"Table 1a","Estimate ('000)","State or territory of usual residence","South Australia","Males","Did not use SPF30 or higher sunscreen on most days",546.9
"Table 1a","Estimate ('000)","State or territory of usual residence","South Australia","Males","Total",748.9
"Table 1a","Estimate ('000)","State or territory of usual residence","South Australia","Females","Used SPF30 or higher sunscreen on most days",340.8
"Table 1a","Estimate ('000)","State or territory of usual residence","South Australia","Females","Did not use SPF30 or higher sunscreen on most days",435.8
"Table 1a","Estimate ('000)","State or territory of usual residence","South Australia","Females","Total",772.1
"Table 1a","Estimate ('000)","State or territory of usual residence","South Australia","Persons","Used SPF30 or higher sunscreen on most days",537
"Table 1a","Estimate ('000)","State or territory of usual residence","South Australia","Persons","Did not use SPF30 or higher sunscreen on most days",980.5
"Table 1a","Estimate ('000)","State or territory of usual residence","South Australia","Persons","Total",1517.9
"Table 1a","Estimate ('000)","State or territory of usual residence","Western Australia","Males","Used SPF30 or higher sunscreen on most days",336.1
"Table 1a","Estimate ('000)","State or territory of usual residence","Western Australia","Males","Did not use SPF30 or higher sunscreen on most days",811.7
"Table 1a","Estimate ('000)","State or territory of usual residence","Western Australia","Males","Total",1145.2
"Table 1a","Estimate ('000)","State or territory of usual residence","Western Australia","Females","Used SPF30 or higher sunscreen on most days",561.7
"Table 1a","Estimate ('000)","State or territory of usual residence","Western Australia","Females","Did not use SPF30 or higher sunscreen on most days",600
"Table 1a","Estimate ('000)","State or territory of usual residence","Western Australia","Females","Total",1163.9
"Table 1a","Estimate ('000)","State or territory of usual residence","Western Australia","Persons","Used SPF30 or higher sunscreen on most days",914.1
"Table 1a","Estimate ('000)","State or territory of usual residence","Western Australia","Persons","Did not use SPF30 or higher sunscreen on most days",1411.2
"Table 1a","Estimate ('000)","State or territory of usual residence","Western Australia","Persons","Total",2329.7
"Table 1a","Estimate ('000)","State or territory of usual residence","Tasmania","Males","Used SPF30 or higher sunscreen on most days",67.5
"Table 1a","Estimate ('000)","State or territory of usual residence","Tasmania","Males","Did not use SPF30 or higher sunscreen on most days",163.5
"Table 1a","Estimate ('000)","State or territory of usual residence","Tasmania","Males","Total",232.2
"Table 1a","Estimate ('000)","State or territory of usual residence","Tasmania","Females","Used SPF30 or higher sunscreen on most days",103.2
"Table 1a","Estimate ('000)","State or territory of usual residence","Tasmania","Females","Did not use SPF30 or higher sunscreen on most days",138.5
"Table 1a","Estimate ('000)","State or territory of usual residence","Tasmania","Females","Total",238.9
"Table 1a","Estimate ('000)","State or territory of usual residence","Tasmania","Persons","Used SPF30 or higher sunscreen on most days",170.1
